Technology,Target.v..m.s.,Ekin..J.
Throwing,19.01,42.1
Throwing,21.32,52.27
Throwing,18.86,42.24
Throwing,19.18,42.77
Throwing,18.03,36.73
Throwing,18.89,40.68
Throwing,14.89,26
Throwing,19.95,45.97
Throwing,17.66,36.65
Throwing,20.31,46.51
Throwing,18.71,39.21
Throwing,14.43,23.43
Throwing,24.55,67.5
Throwing,26.08,76.01
Throwing,24.41,67.18
Throwing,19.38,42.16
Throwing,19.27,41.77
Throwing,21.01,49.99
Throwing,16.24,29.67
Throwing,21.79,53.06
Throwing,18.97,41.56
Throwing,27,83.84
Throwing,20.92,49.89
Throwing,26.91,82.55
Throwing,26.14,77.9
Throwing,29.21,97.27
Throwing,19.57,43.66
Throwing,20.62,48.47
Throwing,20.29,46.93
Throwing,25.14,71.42
Throwing,22.53,59.14
Throwing,17.55,35.88
Throwing,17.36,34.81
Throwing,22.39,56.15
Throwing,24.71,68.39
Throwing,14.76,24.4
Throwing,17.92,35.97
Throwing,21.17,50.19
Throwing,20.85,48.69
Throwing,17.9,35.81
Throwing,23.18,60.31
Throwing,17.05,32.7
Throwing,20.53,47.73
Throwing,21.68,53.23
Throwing,20.87,49
Throwing,20.05,45.23
Throwing,21,49.17
Throwing,19.21,41.15
Throwing,23.47,61.42
Throwing,21.99,54.76
Throwing,22.35,56.57
Throwing,24.11,65.83
Throwing,23.01,59.56
Throwing,27.28,83.72
Throwing,19.5,42.78
Throwing,23.87,64.24
Throwing,21.24,50.87
Throwing,18.67,39.3
Throwing,22.11,55
Throwing,20.92,49.21
Throwing,18.71,39.36
Throwing,20.87,48.98
Throwing,20.51,47.3
Throwing,21.08,49.57
Throwing,23.3,60.56
Throwing,23.31,60.61
Throwing,21.95,53.48
Throwing,22.84,57.38
Throwing,21.1,52.2
Throwing,22.94,58.81
Throwing,21.45,51.42
Throwing,22.05,54.33
Throwing,22.5,56.57
Throwing,22.12,56.27
Throwing,20.49,48.07
Throwing,20.76,49.35
Throwing,19.53,43.39
Throwing,21.24,51.32
Throwing,22.34,57.89
Throwing,18.25,36.8
Throwing,20.78,47.71
Throwing,20.51,46.48
Throwing,20.59,46.85
Throwing,21.65,54.84
Throwing,20.08,44.86
Throwing,22.27,55.17
Throwing,21.12,49.98
Throwing,21.68,52.66
Throwing,17.94,36.06
Throwing,21.37,51.38
Throwing,21.96,54.25
Throwing,22.5,56.45
Throwing,21.61,52.07
Throwing,19.39,41.92
Throwing,22.01,54.02
Throwing,20.28,46.06
Throwing,22.01,54.26
Throwing,20.76,48.38
Throwing,23.16,59.67
Throwing,21.04,49.25
Thrusting,3.186,3.56
Thrusting,3.616,4.61
Thrusting,4.181,6.16
Thrusting,3.421,4.12
Thrusting,4.295,6.49
Thrusting,3.559,4.47
Thrusting,4.35,6.68
Thrusting,3.851,5.26
Thrusting,2.917,3.01
Thrusting,3.052,3.3
Thrusting,4.458,7.04
Thrusting,4.408,6.88
Thrusting,3.854,5.26
Thrusting,4.45,7.01
Thrusting,3.387,4.06
Thrusting,4.04,5.77
Thrusting,3.026,3.23
Thrusting,3.44,4.18
Thrusting,2.33,1.91
Thrusting,3.428,4.13
Thrusting,2.967,3.11
Thrusting,4.293,6.51
Thrusting,2.838,2.85
Thrusting,3.938,5.48
Thrusting,3.458,4.23
Thrusting,3.648,4.7
Thrusting,2.373,1.99
Thrusting,4.458,6.96
Thrusting,2.574,2.32
Thrusting,4.726,7.82
Thrusting,2.561,3.54
Thrusting,2.669,3.85
Thrusting,4.509,10.99
Thrusting,3.915,8.28
Thrusting,3.135,3.47
Thrusting,3.11,3.44
Thrusting,4.458,7.06
Thrusting,3.395,4.09
Thrusting,4.067,5.88
Thrusting,4.508,7.2
Thrusting,3.146,3.5
Thrusting,3.002,3.19
